dens densu densd denss densp densn dense densv xmu xmd xms xm muu mud mus mup mun mue muv E Eq Eh El P Pq Ph Pl S Sq Sh Sl U Uq Uh Ul chi T
0.352548 0.447182 0.886097 0.010609 0.107184 0.244194 0.105878 0.035141 46.0975 33.3944 450.993 232.238 332.073 422.968 422.968 1087.12 1178.01 284.18 193.285 375.803 478.798 344.914 29.2683 73.8584 64.1023 64.1023 9.75607 0.352549 0.75105 0.239906 0.106456 378.997 478.798 344.914 32.4625 0.0121055 20.1379
0.3526 0.447307 0.886144 0.0106065 0.107214 0.244195 0.105884 0.0351555 46.0799 33.3846 450.993 232.208 332.106 422.977 422.977 1087.19 1178.06 284.188 193.316 375.87 478.856 344.947 29.2728 73.8788 64.1213 64.1213 9.75755 0.352601 0.750945 0.239858 0.106445 379.064 478.856 344.947 32.4674 0.0123232 20.1334
0.352652 0.447432 0.886191 0.010604 0.107244 0.244197 0.105891 0.03517 46.0622 33.3749 450.993 232.177 332.138 422.986 422.986 1087.26 1178.11 284.196 193.348 375.937 478.914 344.98 29.2772 73.8993 64.1403 64.1403 9.75902 0.352654 0.75084 0.239811 0.106434 379.132 478.914 344.98 32.4723 0.0125412 20.1288
0.352705 0.447557 0.886238 0.0106015 0.107273 0.244199 0.105897 0.0351845 46.0445 33.3652 450.993 232.147 332.17 422.995 422.995 1087.33 1178.16 284.204 193.379 376.004 478.972 345.013 29.2816 73.9198 64.1593 64.1592 9.7605 0.352706 0.750734 0.239764 0.106423 379.199 478.972 345.013 32.4773 0.0127593 20.1243
0.352758 0.447682 0.886286 0.010599 0.107303 0.2442 0.105904 0.035199 46.0269 33.3554 450.992 232.116 332.202 423.004 423.004 1087.41 1178.21 284.212 193.411 376.071 479.031 345.046 29.2861 73.9402 64.1782 64.1782 9.76198 0.352759 0.750628 0.239716 0.106412 379.267 479.031 345.046 32.4822 0.0129777 20.1197
0.35281 0.447807 0.886333 0.0105965 0.107332 0.244202 0.10591 0.0352135 46.0093 33.3457 450.992 232.086 332.234 423.013 423.013 1087.48 1178.26 284.22 193.442 376.138 479.089 345.079 29.2905 73.9607 64.1972 64.1972 9.76346 0.352811 0.750523 0.239669 0.106401 379.334 479.089 345.079 32.4871 0.0131963 20.1152
0.352863 0.447932 0.88638 0.010594 0.107362 0.244203 0.105917 0.035228 45.9916 33.336 450.992 232.055 332.267 423.022 423.022 1087.55 1178.31 284.229 193.473 376.205 479.147 345.112 29.295 73.9812 64.2162 64.2162 9.76494 0.352864 0.750417 0.239621 0.10639 379.402 479.147 345.112 32.4921 0.0134151 20.1106
0.352915 0.448057 0.886427 0.0105915 0.107391 0.244205 0.105924 0.0352426 45.974 33.3263 450.992 232.025 332.299 423.031 423.031 1087.63 1178.36 284.237 193.505 376.272 479.206 345.145 29.2994 74.0016 64.2352 64.2352 9.76642 0.352917 0.75031 0.239574 0.10638 379.469 479.206 345.145 32.497 0.0136341 20.1061
0.352968 0.448182 0.886474 0.010589 0.107421 0.244206 0.10593 0.0352571 45.9564 33.3166 450.992 231.994 332.331 423.039 423.039 1087.7 1178.41 284.245 193.536 376.339 479.264 345.178 29.3039 74.0221 64.2542 64.2542 9.7679 0.352969 0.750204 0.239526 0.106369 379.537 479.264 345.178 32.502 0.0138534 20.1015
0.353021 0.448308 0.886521 0.0105865 0.107451 0.244208 0.105937 0.0352717 45.9388 33.3069 450.992 231.964 332.363 423.048 423.048 1087.77 1178.46 284.253 193.568 376.406 479.322 345.211 29.3083 74.0426 64.2732 64.2732 9.76939 0.353022 0.750098 0.239478 0.106358 379.605 479.322 345.211 32.5069 0.0140728 20.097
0.353073 0.448433 0.886568 0.0105839 0.10748 0.244209 0.105943 0.0352862 45.9212 33.2973 450.992 231.933 332.396 423.057 423.057 1087.85 1178.51 284.261 193.599 376.474 479.381 345.244 29.3128 74.0631 64.2922 64.2922 9.77087 0.353075 0.749991 0.239431 0.106347 379.673 479.381 345.244 32.5119 0.0142925 20.0924
0.353126 0.448558 0.886615 0.0105814 0.10751 0.244211 0.10595 0.0353008 45.9037 33.2876 450.992 231.903 332.428 423.066 423.066 1087.92 1178.56 284.269 193.631 376.541 479.439 345.277 29.3172 74.0836 64.3112 64.3112 9.77236 0.353127 0.749884 0.239383 0.106336 379.74 479.439 345.277 32.5168 0.0145124 20.0879
0.353179 0.448684 0.886662 0.0105789 0.107539 0.244212 0.105956 0.0353154 45.8861 33.2779 450.992 231.872 332.46 423.075 423.075 1087.99 1178.61 284.277 193.662 376.608 479.497 345.31 29.3217 74.1041 64.3302 64.3302 9.77384 0.35318 0.749777 0.239335 0.106325 379.808 479.497 345.31 32.5218 0.0147325 20.0833
0.353232 0.448809 0.886709 0.0105763 0.107569 0.244213 0.105963 0.03533 45.8685 33.2682 450.992 231.842 332.492 423.084 423.084 1088.07 1178.66 284.285 193.694 376.676 479.556 345.343 29.3261 74.1246 64.3492 64.3492 9.77533 0.353233 0.74967 0.239288 0.106314 379.876 479.556 345.343 32.5267 0.0149528 20.0787
0.353285 0.448934 0.886756 0.0105737 0.107599 0.244215 0.105969 0.0353446 45.851 33.2586 450.992 231.811 332.525 423.093 423.093 1088.14 1178.71 284.293 193.725 376.743 479.614 345.376 29.3306 74.1451 64.3683 64.3682 9.77682 0.353286 0.749563 0.23924 0.106303 379.944 479.614 345.376 32.5317 0.0151733 20.0742
0.353337 0.44906 0.886803 0.0105712 0.107628 0.244216 0.105976 0.0353592 45.8334 33.2489 450.992 231.781 332.557 423.102 423.102 1088.22 1178.76 284.302 193.757 376.811 479.672 345.409 29.3351 74.1656 64.3873 64.3872 9.77831 0.353339 0.749456 0.239192 0.106292 380.012 479.672 345.409 32.5367 0.0153941 20.0696
0.35339 0.449185 0.886849 0.0105686 0.107658 0.244218 0.105982 0.0353738 45.8159 33.2393 450.992 231.75 332.589 423.11 423.11 1088.29 1178.81 284.31 193.788 376.878 479.73 345.442 29.3395 74.1861 64.4063 64.4063 9.7798 0.353392 0.749348 0.239144 0.106281 380.08 479.73 345.442 32.5416 0.015615 20.065
0.353443 0.449311 0.886896 0.010566 0.107688 0.244219 0.105989 0.0353885 45.7984 33.2296 450.992 231.72 332.621 423.119 423.119 1088.36 1178.86 284.318 193.82 376.946 479.789 345.475 29.344 74.2066 64.4253 64.4253 9.78129 0.353444 0.749241 0.239096 0.10627 380.148 479.789 345.475 32.5466 0.0158362 20.0604
0.353496 0.449436 0.886943 0.0105635 0.107717 0.244221 0.105995 0.0354031 45.7809 33.22 450.992 231.69 332.654 423.128 423.128 1088.44 1178.91 284.326 193.851 377.013 479.847 345.508 29.3485 74.2271 64.4443 64.4443 9.78279 0.353497 0.749133 0.239048 0.106259 380.216 479.847 345.508 32.5516 0.0160576 20.0558
0.353549 0.449562 0.88699 0.0105609 0.107747 0.244222 0.106002 0.0354178 45.7634 33.2104 450.992 231.659 332.686 423.137 423.137 1088.51 1178.96 284.334 193.883 377.081 479.905 345.541 29.353 74.2476 64.4634 64.4633 9.78428 0.35355 0.749025 0.239 0.106247 380.284 479.905 345.541 32.5566 0.0162792 20.0513
0.353602 0.449687 0.887037 0.0105583 0.107777 0.244223 0.106008 0.0354324 45.7459 33.2007 450.992 231.629 332.718 423.146 423.146 1088.58 1179.01 284.342 193.915 377.149 479.964 345.574 29.3575 74.2682 64.4824 64.4824 9.78577 0.353603 0.748917 0.238952 0.106236 380.353 479.964 345.574 32.5615 0.0165011 20.0467
