dens densp densn dense densm mup mun mue xm vsigma vomega vrho E Eh El P Ph Pl
0.0033981 1.88652e-06 0.00339637 1.725e-06 0 934.228 941.568 7.3391 928.561 0.0111166 0.00751828 -0.00303164 3.19678 3.19677 9.51772e-06 0.00291421 0.00291107 3.14224e-06
0.00344806 1.94358e-06 0.00344627 1.78662e-06 0 934.16 941.585 7.42505 928.41 0.0112784 0.00762879 -0.00307609 3.24381 3.2438 9.97258e-06 0.00297414 0.00297085 3.29313e-06
0.00349802 2.002e-06 0.00349617 1.84952e-06 0 934.092 941.602 7.51078 928.258 0.0114402 0.0077393 -0.00312053 3.29085 3.29084 1.04423e-05 0.00303438 0.00303093 3.44899e-06
0.00354798 2.06178e-06 0.00354607 1.91372e-06 0 934.023 941.62 7.5963 928.106 0.011602 0.0078498 -0.00316497 3.33789 3.33788 1.09273e-05 0.00309493 0.00309132 3.6099e-06
0.00359794 2.12295e-06 0.00359596 1.97922e-06 0 933.955 941.637 7.68162 927.954 0.0117636 0.00796031 -0.00320941 3.38493 3.38492 1.14277e-05 0.00315578 0.003152 3.77595e-06
0.0036479 2.18551e-06 0.00364586 2.04604e-06 0 933.887 941.654 7.76673 927.802 0.0119253 0.00807081 -0.00325383 3.43197 3.43196 1.19438e-05 0.00321692 0.00321298 3.94724e-06
0.00369786 2.24946e-06 0.00369575 2.11418e-06 0 933.819 941.67 7.85164 927.65 0.0120869 0.00818131 -0.00329826 3.47902 3.479 1.24759e-05 0.00327837 0.00327425 4.12385e-06
0.00374782 2.31484e-06 0.00374564 2.18365e-06 0 933.75 941.687 7.93636 927.499 0.0122484 0.00829181 -0.00334268 3.52606 3.52604 1.30243e-05 0.00334011 0.0033358 4.30589e-06
0.00379778 2.38162e-06 0.00379553 2.25446e-06 0 933.682 941.703 8.02088 927.347 0.01241 0.00840231 -0.00338709 3.5731 3.57309 1.35893e-05 0.00340214 0.00339765 4.49345e-06
0.00384774 2.44984e-06 0.00384542 2.32662e-06 0 933.614 941.72 8.10522 927.195 0.0125714 0.0085128 -0.0034315 3.62015 3.62013 1.41712e-05 0.00346447 0.00345978 4.68661e-06
0.0038977 2.5195e-06 0.0038953 2.40013e-06 0 933.546 941.736 8.18937 927.044 0.0127329 0.0086233 -0.0034759 3.66719 3.66718 1.47701e-05 0.00352708 0.00352219 4.88547e-06
0.00394766 2.5906e-06 0.00394519 2.47501e-06 0 933.478 941.752 8.27333 926.892 0.0128942 0.00873379 -0.0035203 3.71424 3.71422 1.53865e-05 0.00358998 0.00358489 5.09014e-06
0.00399762 2.66316e-06 0.00399507 2.55127e-06 0 933.411 941.768 8.35712 926.741 0.0130556 0.00884429 -0.00356469 3.76129 3.76127 1.60205e-05 0.00365317 0.00364786 5.30069e-06
