dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl chi
0.251045 0.208566 0.699814 0 0.0545764 0.168894 0.00284816 0 127.435 83.6212 458.004 400.621 274.32 360.855 360.855 909.495 996.03 86.5345 241.769 301.527 209.642 0.184852 8.27968 8.21802 8.12212e-05 0.0616129 0.347626
0.251086 0.208665 0.699878 0 0.0545865 0.168899 0.00284764 0 127.38 83.5867 457.999 400.589 274.327 360.856 360.856 909.511 996.04 86.5292 241.81 301.578 209.657 0.184806 8.28219 8.22055 8.12461e-05 0.0615977 0.347777
0.251127 0.208764 0.699943 0 0.0545966 0.168905 0.00284711 0 127.324 83.5522 457.994 400.558 274.334 360.858 360.858 909.526 996.05 86.5239 241.851 301.628 209.672 0.184761 8.2847 8.22308 8.12711e-05 0.0615825 0.347929
0.251169 0.208863 0.700007 0 0.0546068 0.16891 0.00284658 0 127.269 83.5177 457.989 400.526 274.341 360.86 360.86 909.541 996.06 86.5185 241.892 301.678 209.686 0.184715 8.28722 8.2256 8.12961e-05 0.0615673 0.348081
0.25121 0.208961 0.700072 0 0.0546169 0.168916 0.00284606 0 127.214 83.4833 457.984 400.494 274.348 360.861 360.861 909.557 996.07 86.5132 241.933 301.729 209.701 0.184669 8.28973 8.22813 8.13211e-05 0.0615521 0.348233
0.251251 0.20906 0.700136 0 0.0546271 0.168922 0.00284553 0 127.159 83.449 457.979 400.463 274.355 360.863 360.863 909.572 996.08 86.5078 241.974 301.779 209.716 0.184624 8.29224 8.23066 8.1346e-05 0.0615369 0.348384
0.251292 0.209158 0.7002 0 0.0546372 0.168927 0.002845 0 127.103 83.4147 457.974 400.431 274.362 360.864 360.864 909.588 996.09 86.5025 242.015 301.829 209.731 0.184578 8.29475 8.23319 8.1371e-05 0.0615217 0.348536
0.251333 0.209256 0.700264 0 0.0546473 0.168933 0.00284447 0 127.048 83.3804 457.969 400.399 274.369 360.866 360.866 909.603 996.1 86.4971 242.056 301.879 209.745 0.184532 8.29727 8.23572 8.1396e-05 0.0615065 0.348688
0.251374 0.209355 0.700328 0 0.0546575 0.168938 0.00284394 0 126.994 83.3462 457.964 400.368 274.376 360.867 360.867 909.618 996.11 86.4918 242.097 301.929 209.76 0.184487 8.29978 8.23825 8.1421e-05 0.0614912 0.348839
0.251416 0.209453 0.700391 0 0.0546676 0.168944 0.00284341 0 126.939 83.3121 457.959 400.336 274.382 360.869 360.869 909.634 996.12 86.4864 242.138 301.979 209.775 0.184441 8.30229 8.24077 8.1446e-05 0.061476 0.348991
