dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl chi
0.312921 0.193987 0.839276 0 0.0507813 0.256046 0.0136752 0.0044932 119.743 70.0327 456.569 280.736 276.732 422.717 422.717 976.18 1122.16 145.985 311.602 369.478 297.917 2.08563 39.5472 38.9806 0.000385252 0.566669 0.162089
0.313042 0.194368 0.839586 0 0.0508281 0.256082 0.0136686 0.00448866 119.527 69.9119 456.553 280.631 276.789 422.75 422.75 976.329 1122.29 145.961 311.737 369.714 298.003 2.08401 39.5864 39.0201 0.000385643 0.566244 0.162461
0.313163 0.194748 0.839894 0 0.0508751 0.256118 0.013662 0.00448411 119.312 69.7915 456.538 280.527 276.847 422.784 422.784 976.477 1122.41 145.938 311.873 369.95 298.09 2.08238 39.6255 39.0597 0.000386034 0.565817 0.162834
0.313284 0.195128 0.840202 0 0.0509221 0.256154 0.0136554 0.00447953 119.097 69.6714 456.522 280.423 276.904 422.818 422.818 976.626 1122.54 145.914 312.009 370.185 298.176 2.08075 39.6646 39.0993 0.000386425 0.565389 0.163208
0.313405 0.195507 0.84051 0 0.0509691 0.25619 0.0136487 0.00447494 118.883 69.5516 456.507 280.319 276.961 422.852 422.852 976.775 1122.66 145.89 312.145 370.42 298.262 2.07911 39.7038 39.1389 0.000386817 0.564959 0.163582
0.313526 0.195885 0.840816 0 0.0510162 0.256226 0.013642 0.00447034 118.67 69.4322 456.492 280.214 277.019 422.886 422.886 976.923 1122.79 145.867 312.281 370.654 298.349 2.07746 39.743 39.1785 0.000387208 0.564527 0.163957
0.313647 0.196263 0.841122 0 0.0510634 0.256262 0.0136353 0.00446571 118.456 69.3131 456.476 280.11 277.077 422.919 422.919 977.072 1122.91 145.843 312.417 370.889 298.435 2.0758 39.7822 39.2181 0.0003876 0.564094 0.164333
0.313769 0.196641 0.841427 0 0.0511107 0.256298 0.0136286 0.00446107 118.244 69.1943 456.461 280.006 277.134 422.953 422.953 977.221 1123.04 145.819 312.554 371.122 298.521 2.07415 39.8214 39.2578 0.000387992 0.563659 0.164709
0.31389 0.197018 0.841732 0 0.051158 0.256333 0.0136218 0.00445641 118.032 69.0759 456.446 279.902 277.192 422.986 422.987 977.371 1123.16 145.794 312.69 371.356 298.608 2.07248 39.8606 39.2974 0.000388384 0.563223 0.165087
0.314011 0.197394 0.842036 0 0.0512053 0.256369 0.013615 0.00445173 117.82 68.9578 456.431 279.798 277.25 423.02 423.02 977.52 1123.29 145.77 312.826 371.589 298.694 2.07081 39.8999 39.3371 0.000388776 0.562785 0.165465
