dens densu densd denss dense densm xmu xmd xms muu mud mus mue mun nuu nud nus E Eq El P Pq Pl
0.0158035 0.015805 0.0316055 0 1.47589e-06 0 302.644 299.74 504.457 320.199 327.168 327.168 6.96919 974.536 320.744 328.258 327.168 15.2121 15.2121 7.73479e-06 0.188959 0.188956 2.55096e-06
0.015883 0.0158845 0.0317645 0 1.48752e-06 0 302.597 299.679 504.439 320.211 327.198 327.198 6.98735 974.608 320.759 328.294 327.198 15.2896 15.2896 7.81598e-06 0.190108 0.190105 2.57788e-06
0.0159625 0.015964 0.0319235 0 1.49919e-06 0 302.55 299.618 504.421 320.223 327.229 327.229 7.00547 974.68 320.773 328.329 327.229 15.3671 15.3671 7.89758e-06 0.191257 0.191254 2.60493e-06
0.016042 0.0160435 0.0320825 0 1.51088e-06 0 302.504 299.557 504.403 320.235 327.259 327.259 7.02354 974.752 320.788 328.365 327.259 15.4446 15.4446 7.97959e-06 0.192406 0.192403 2.63213e-06
0.0161215 0.016123 0.0322415 0 1.5226e-06 0 302.457 299.496 504.385 320.247 327.288 327.288 7.04156 974.823 320.803 328.4 327.288 15.5221 15.5221 8.06202e-06 0.193554 0.193551 2.65945e-06
0.016201 0.0162025 0.0324005 0 1.53435e-06 0 302.41 299.435 504.367 320.258 327.318 327.318 7.05953 974.894 320.817 328.435 327.318 15.5996 15.5996 8.14485e-06 0.194702 0.194699 2.68692e-06
0.0162805 0.016282 0.0325595 0 1.54612e-06 0 302.363 299.374 504.349 320.27 327.348 327.348 7.07745 974.965 320.831 328.47 327.348 15.6771 15.6771 8.22809e-06 0.195849 0.195847 2.71452e-06
0.01636 0.0163616 0.0327184 0 1.55793e-06 0 302.317 299.313 504.331 320.282 327.377 327.377 7.09532 975.035 320.846 328.505 327.377 15.7546 15.7546 8.31174e-06 0.196997 0.196994 2.74226e-06
0.0164395 0.0164411 0.0328774 0 1.56976e-06 0 302.27 299.252 504.313 320.293 327.406 327.406 7.11314 975.105 320.86 328.54 327.406 15.8321 15.8321 8.3958e-06 0.198143 0.198141 2.77013e-06
0.016519 0.0165206 0.0330364 0 1.58162e-06 0 302.223 299.191 504.295 320.304 327.435 327.435 7.13092 975.175 320.874 328.574 327.435 15.9096 15.9096 8.48026e-06 0.19929 0.199287 2.79815e-06
0.0165985 0.0166001 0.0331954 0 1.59351e-06 0 302.176 299.13 504.277 320.316 327.464 327.464 7.14865 975.244 320.888 328.609 327.464 15.9872 15.9871 8.56514e-06 0.200436 0.200433 2.82629e-06
0.016678 0.0166796 0.0333544 0 1.60542e-06 0 302.129 299.069 504.259 320.327 327.493 327.493 7.16633 975.313 320.902 328.643 327.493 16.0647 16.0647 8.65042e-06 0.201581 0.201578 2.85458e-06
0.0167575 0.0167591 0.0335134 0 1.61737e-06 0 302.083 299.008 504.24 320.338 327.522 327.522 7.18397 975.381 320.916 328.677 327.522 16.1422 16.1422 8.73612e-06 0.202726 0.202723 2.88299e-06
0.016837 0.0168386 0.0336724 0 1.62934e-06 0 302.036 298.947 504.222 320.349 327.55 327.55 7.20156 975.45 320.929 328.711 327.55 16.2198 16.2198 8.82222e-06 0.203871 0.203868 2.91155e-06
0.0169165 0.0169181 0.0338314 0 1.64133e-06 0 301.989 298.886 504.204 320.36 327.579 327.579 7.2191 975.517 320.943 328.745 327.579 16.2973 16.2973 8.90872e-06 0.205015 0.205012 2.94024e-06
0.016996 0.0169977 0.0339903 0 1.65336e-06 0 301.942 298.825 504.186 320.371 327.607 327.607 7.2366 975.585 320.957 328.779 327.607 16.3749 16.3749 8.99564e-06 0.206159 0.206156 2.96907e-06
0.0170755 0.0170772 0.0341493 0 1.66541e-06 0 301.895 298.764 504.168 320.381 327.635 327.635 7.25406 975.652 320.97 328.813 327.635 16.4524 16.4524 9.08296e-06 0.207302 0.207299 2.99803e-06
0.017155 0.0171567 0.0343083 0 1.67749e-06 0 301.849 298.703 504.15 320.392 327.663 327.663 7.27147 975.719 320.983 328.846 327.663 16.53 16.53 9.17069e-06 0.208444 0.208441 3.02713e-06
0.0172345 0.0172362 0.0344673 0 1.6896e-06 0 301.802 298.642 504.132 320.402 327.691 327.691 7.28883 975.785 320.997 328.88 327.691 16.6076 16.6076 9.25883e-06 0.209586 0.209583 3.05636e-06
0.017314 0.0173157 0.0346263 0 1.70173e-06 0 301.755 298.581 504.114 320.413 327.719 327.719 7.30615 975.851 321.01 328.913 327.719 16.6852 16.6852 9.34737e-06 0.210727 0.210724 3.08573e-06
0.0173935 0.0173952 0.0347853 0 1.71389e-06 0 301.708 298.52 504.096 320.423 327.747 327.747 7.32343 975.917 321.023 328.946 327.747 16.7627 16.7627 9.43632e-06 0.211868 0.211865 3.11524e-06
0.017473 0.0174747 0.0349443 0 1.72608e-06 0 301.661 298.459 504.078 320.434 327.774 327.774 7.34066 975.982 321.036 328.979 327.774 16.8403 16.8403 9.52567e-06 0.213009 0.213005 3.14488e-06
0.0175525 0.0175542 0.0351033 0 1.73829e-06 0 301.615 298.398 504.06 320.444 327.802 327.802 7.35785 976.047 321.049 329.012 327.802 16.9179 16.9179 9.61544e-06 0.214148 0.214145 3.17465e-06
0.017632 0.0176338 0.0352623 0 1.75053e-06 0 301.568 298.337 504.042 320.454 327.829 327.829 7.375 976.112 321.062 329.045 327.829 16.9955 16.9955 9.7056e-06 0.215287 0.215284 3.20457e-06
0.0177115 0.0177133 0.0354212 0 1.7628e-06 0 301.521 298.276 504.024 320.464 327.856 327.856 7.3921 976.177 321.075 329.077 327.856 17.0731 17.0731 9.79618e-06 0.216425 0.216422 3.23461e-06
0.017791 0.0177928 0.0355802 0 1.77509e-06 0 301.474 298.215 504.006 320.474 327.883 327.883 7.40916 976.241 321.088 329.11 327.883 17.1507 17.1507 9.88716e-06 0.217563 0.21756 3.26479e-06
0.0178705 0.0178723 0.0357392 0 1.78741e-06 0 301.427 298.154 503.988 320.484 327.91 327.91 7.42618 976.304 321.1 329.142 327.91 17.2283 17.2283 9.97854e-06 0.2187 0.218697 3.29511e-06
0.01795 0.0179518 0.0358982 0 1.79976e-06 0 301.381 298.093 503.97 320.494 327.937 327.937 7.44316 976.368 321.113 329.175 327.937 17.306 17.306 1.00703e-05 0.219836 0.219833 3.32556e-06
0.0180295 0.0180313 0.0360572 0 1.81213e-06 0 301.334 298.032 503.952 320.504 327.964 327.964 7.4601 976.431 321.125 329.207 327.964 17.3836 17.3836 1.01625e-05 0.220972 0.220969 3.35615e-06
0.018109 0.0181108 0.0362162 0 1.82453e-06 0 301.287 297.971 503.934 320.513 327.99 327.99 7.47699 976.494 321.138 329.239 327.99 17.4612 17.4612 1.02551e-05 0.222107 0.222104 3.38687e-06
0.0181885 0.0181903 0.0363752 0 1.83695e-06 0 301.24 297.91 503.916 320.523 328.017 328.017 7.49385 976.556 321.15 329.271 328.017 17.5389 17.5388 1.03481e-05 0.223241 0.223238 3.41773e-06
